PERSON,COUNTRY,SITE,SAMPLE,WTD,pH,AMP WRI,ARC ARE,ARC DEN,ARC DIS,ARC GIB,ARC HEM,ARC MIT,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CAM MIN,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,CYP AMP,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,DIF URC,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,LAG VAS,LES SPI,LES EPI,MIC PAT,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,PLAGIO,PON ELI,PSE GRA,PYX OPE,QUA SYM,SPHENO,TRA DEN,TRI ARC
Mallon,Sweden,North,N2_9,25,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,34.8,5.5,0.0,0.0,0.0,0.0,0.0,0.6,11.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,3.0,0.6,0.0,1.2,21.3,7.9,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_8,0,3.7,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.7,0.0,1.1,3.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,6.5,1.6,1.1,0.0,2.2,0.0,1.1,0.0,0.0,3.8,5.4,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Mallon,Sweden,North,N2_7,3,4.1,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,27.2,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.1,0.0,0.6,0.0,1.2,0.0,2.4,0.0,0.0,14.8,4.7,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_6,20,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,1.7,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.6,0.0,4.6,0.0,3.4,64.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.6,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_5,25,3.8,0.6,1.3,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,20.3,3.8,1.3,0.0,0.0,0.0,0.0,3.8,9.5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.6,0.0,0.0,4.4,25.9,12.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Mallon,Sweden,North,N2_4,3,3.6,5.4,1.0,0.0,0.5,0.0,0.0,0.0,0.0,42.6,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,4.5,0.0,2.0,0.0,0.0,15.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_3,0,4.0,9.3,0.0,0.0,1.2,0.0,0.0,0.0,0.0,32.9,0.0,1.9,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,12.4,1.2,5.0,0.0,8.1,0.6,1.2,0.0,0.0,7.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_2,15,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,8.6,32.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mallon,Sweden,North,N2_1,0,3.7,7.5,0.0,0.0,2.2,0.0,1.6,0.0,0.0,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,3.2,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,6.5,0.5,1.6,0.0,0.0,12.4,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lamentowicz,Poland,Jedwabna,JB01,13,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.2,0.0,2.9,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
