PERSON,COUNTRY,SITE,SAMPLE,Lat,Long,WTD,pH,AMP WRI,ARC ARE,ARC DIS,ARC GIB,ARC HEM,ARC VUL,ARC FLA,ARG DEN,ASS MUS,ASS SEM,BUL IND,CEN ACU,CEN AER,CEN ECO,COR TRI,CRY SAC,CRY OVI,CYC ARC,DIF ACU,DIF GRA,DIF LAB,DIF LEI,DIF LUC,DIF OBL,EUG CIL,EUG ROT,HEL PET,HEL ROS,HEL SYL,HYA ELE,HYA PAP,HYA SUB,NEB CAR,NEB COL,NEB FLA,NEB MIL,NEB MIN,NEB PEN,NEB TIN,PAD LAG,PAR IRR,PSY GRI,PLA SPI,QUA SYM,SPHENO,TRA DEN,TRI ARC
Mazei,Russia,Karelia-16,k-1-7,66.5227,32.9185,30,4.5,0,0,0,13.3,0,0,0,0,27.2,0,7.4,0,4,0,9.7,0,0.4,0.9,0,0,0,0,0,0,4.4,3.6,0,0,0,2.5,13.5,0,0,0,0,2,0,0,0.6,0,0,0,0,0,0,0,10.3
Lamentowicz,Poland,Linje,LIN14,53.1875,18.3096,30,NA,0,0.6,11.7,0,0,0,0,0,1.8,0,0,0,0,0,0.6,0,0,0.6,0,0,0,0,0,0,55.6,1.8,0,0,0,0.6,6.4,0,0,0,0,0,0,0,14.6,0,0,5.8,0,0,0,0,0
Mallon,Sweden,North,N5_11,59.8728,12.3053,30,4,0,0,0,0,0,0,26.3,0,3.2,2.2,0,0,0,0,0,18.3,0,3.2,0,0,0,0,0,0,1.6,0,3.2,0,0,24.2,10.8,0,0,0,0,3.2,0,0,3.2,0,0,0,0,0,0,0,0.5
Mallon,Sweden,North,N5_6,59.8728,12.3053,30,4.1,0,0,0,0,0,0,24.9,0,6.6,0.5,0,0,0,0,0,3,0,1.5,0,0,0,0,0,1,0.5,0,0,0,2.5,46.7,9.6,0,0,0,0,0.5,0,0,1,0.5,0,0,0.5,0,0,0,0.5
Mallon,Sweden,North,N1_5,59.8625,12.3247,30,3.8,0,0.6,0,0,0,0,29.1,0,3.2,1.3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0.6,5.7,0,0.6,39.9,13.3,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,1.9
Lamentowicz,Poland,Chlebowo,CHL30,52.7364,16.7569,30,5.3,0,0,36.1,0,0,0,0,0,20.6,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,38.9,0.6,0,0,0,0,0,0,0.6,0,0,2.8,0,0,0,0,0,0,0,0
Mazei,Russia,Karelia-37,k-3-8,66.5225,32.9491,30,3.8,0,3,0,0,0,0,29.3,0,6.3,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.2,0,0,23.7,23.2,0,0,0.7,0,0.8,0,0,0,0,0,0,0,0,0,0,0.5
Lamentowicz,Switzerland,Mauntschas,34,46.4575,9.8561,30.5,3.9,0,0,0,0,0,0,0,0,45.2,43.9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0
Lamentowicz,Switzerland,Lej Marsch,57,46.4753,9.8197,30.5,4,0,0,0,0,0,0,0,0,41.7,17.2,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,6.7,1.1,0,0.6,0,0,0,0,0,0,0,0,0,0,30.6,0,0,0.6,0,0,0,0,0
Charman,Finland,Kontolanrahka,FI 7,60.7837,22.7874,30.5,NA,0,0.5,0,0,0,0,0.5,0,14.8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,53.1,23,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0
Mitchell,Switzerland,La Chaux-des-Breuleux,CDB-14,47.2268,7.0498,31,4.9,0,0,0,0,0,0,0,0,8.2,2.7,2.7,0,0,0,55.1,0,0,0,0,0,0,0,0,0,11.6,3.4,0,0,0,0,0,0,0,0,0,1.4,0,0,15,0,0,0,0,0,0,0,0
Mitchell,Switzerland,La Chaux-des-Breuleux,CDB-4,47.2268,7.0498,31,4.4,0,0,0,0,0,0,0,0,7.3,0,4.8,0,0,0,16.9,0,0,0,0,0,0,0,0,0,10.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,58.9,0,0,0,0,0,0,0,0
